customerid,customername,customersegment,country,city
1219,Customer 1219,Segment A,Country B,City C
1220,Customer 1220,Segment B,Country C,City A
1221,Customer 1221,Segment A,Country C,City D
1222,Customer 1222,Segment A,Country B,City D
1223,Customer 1223,Segment A,Country B,City C
1224,Customer 1224,Segment A,Country A,City E
1225,Customer 1225,Segment C,Country C,City D
1226,Customer 1226,Segment B,Country C,City D
1227,Customer 1227,Segment B,Country B,City B
1228,Customer 1228,Segment B,Country B,City B
1229,Customer 1229,Segment C,Country C,City C
1230,Customer 1230,Segment C,Country A,City D
1231,Customer 1231,Segment C,Country C,City A
1232,Customer 1232,Segment A,Country A,City D
1233,Customer 1233,Segment B,Country B,City C
1234,Customer 1234,Segment B,Country A,City B
1235,Customer 1235,Segment B,Country C,City C
1236,Customer 1236,Segment C,Country A,City B
1237,Customer 1237,Segment C,Country A,City A
1238,Customer 1238,Segment A,Country A,City D
1239,Customer 1239,Segment C,Country A,City C
1240,Customer 1240,Segment A,Country A,City E
1241,Customer 1241,Segment B,Country B,City C
1242,Customer 1242,Segment C,Country A,City D
1243,Customer 1243,Segment A,Country C,City A
1244,Customer 1244,Segment B,Country C,City E
1245,Customer 1245,Segment C,Country C,City B
1246,Customer 1246,Segment C,Country B,City B
1247,Customer 1247,Segment A,Country A,City B
1248,Customer 1248,Segment C,Country B,City A
1249,Customer 1249,Segment A,Country A,City D
1250,Customer 1250,Segment A,Country A,City D
1251,Customer 1251,Segment A,Country C,City E
1252,Customer 1252,Segment A,Country A,City C
1253,Customer 1253,Segment A,Country A,City D
1254,Customer 1254,Segment A,Country A,City A
1255,Customer 1255,Segment B,Country A,City D
1256,Customer 1256,Segment B,Country C,City A
1257,Customer 1257,Segment C,Country C,City E
1258,Customer 1258,Segment B,Country A,City D
1259,Customer 1259,Segment A,Country C,City E
1260,Customer 1260,Segment A,Country C,City E
1261,Customer 1261,Segment B,Country A,City C
1262,Customer 1262,Segment B,Country B,City B
1263,Customer 1263,Segment A,Country C,City A
1264,Customer 1264,Segment C,Country C,City E
1265,Customer 1265,Segment B,Country C,City B
1266,Customer 1266,Segment A,Country A,City A
1267,Customer 1267,Segment B,Country A,City B
1268,Customer 1268,Segment A,Country A,City D
1269,Customer 1269,Segment C,Country A,City A
1270,Customer 1270,Segment B,Country C,City D
1271,Customer 1271,Segment C,Country A,City D
1272,Customer 1272,Segment C,Country C,City B
1273,Customer 1273,Segment B,Country C,City E
1274,Customer 1274,Segment A,Country B,City C
1275,Customer 1275,Segment B,Country A,City A
1276,Customer 1276,Segment A,Country B,City E
1277,Customer 1277,Segment A,Country B,City B
1278,Customer 1278,Segment B,Country C,City D
1279,Customer 1279,Segment C,Country A,City B
1280,Customer 1280,Segment B,Country B,City C
1281,Customer 1281,Segment A,Country B,City B
1282,Customer 1282,Segment C,Country B,City E
1283,Customer 1283,Segment A,Country B,City B
1284,Customer 1284,Segment B,Country A,City B
1285,Customer 1285,Segment B,Country C,City B
1286,Customer 1286,Segment C,Country A,City C
1287,Customer 1287,Segment B,Country C,City A
1288,Customer 1288,Segment C,Country C,City D
1289,Customer 1289,Segment C,Country B,City D
1290,Customer 1290,Segment C,Country A,City C
1291,Customer 1291,Segment C,Country B,City A
1292,Customer 1292,Segment B,Country B,City A
1293,Customer 1293,Segment B,Country A,City D
1294,Customer 1294,Segment C,Country C,City D
1295,Customer 1295,Segment A,Country A,City B
1296,Customer 1296,Segment A,Country B,City B
1297,Customer 1297,Segment A,Country A,City C
1298,Customer 1298,Segment C,Country A,City E
1299,Customer 1299,Segment B,Country C,City D
1300,Customer 1300,Segment B,Country A,City D
1301,Customer 1301,Segment C,Country B,City B
1302,Customer 1302,Segment A,Country C,City D
1303,Customer 1303,Segment B,Country B,City A
1304,Customer 1304,Segment A,Country C,City B
1305,Customer 1305,Segment A,Country C,City D
1306,Customer 1306,Segment B,Country A,City B
1307,Customer 1307,Segment B,Country A,City E
1308,Customer 1308,Segment A,Country B,City C
1309,Customer 1309,Segment B,Country A,City A
1310,Customer 1310,Segment C,Country B,City A
1311,Customer 1311,Segment A,Country A,City C
1312,Customer 1312,Segment A,Country A,City C
1313,Customer 1313,Segment C,Country A,City E
1314,Customer 1314,Segment B,Country A,City B
1315,Customer 1315,Segment A,Country C,City D
1316,Customer 1316,Segment C,Country A,City A
1317,Customer 1317,Segment A,Country C,City E
1318,Customer 1318,Segment A,Country A,City D
1319,Customer 1319,Segment B,Country A,City C
1320,Customer 1320,Segment A,Country A,City E
1321,Customer 1321,Segment B,Country C,City B
1322,Customer 1322,Segment A,Country A,City B
1323,Customer 1323,Segment A,Country A,City E
1324,Customer 1324,Segment A,Country B,City A
1325,Customer 1325,Segment A,Country B,City C
1326,Customer 1326,Segment C,Country A,City A
1327,Customer 1327,Segment B,Country A,City A
1328,Customer 1328,Segment C,Country A,City D
1329,Customer 1329,Segment C,Country B,City B
1330,Customer 1330,Segment A,Country B,City B
1331,Customer 1331,Segment A,Country C,City C
1332,Customer 1332,Segment B,Country A,City E
1333,Customer 1333,Segment B,Country A,City D
1334,Customer 1334,Segment C,Country B,City C
1335,Customer 1335,Segment A,Country C,City E
1336,Customer 1336,Segment A,Country C,City C
1337,Customer 1337,Segment A,Country B,City C
1338,Customer 1338,Segment A,Country C,City E
1339,Customer 1339,Segment A,Country C,City E
1340,Customer 1340,Segment A,Country A,City A
1341,Customer 1341,Segment A,Country A,City E
1342,Customer 1342,Segment B,Country C,City E
1343,Customer 1343,Segment A,Country C,City E
1344,Customer 1344,Segment A,Country A,City E
1345,Customer 1345,Segment A,Country A,City B
1346,Customer 1346,Segment C,Country C,City C
1347,Customer 1347,Segment C,Country A,City A
1348,Customer 1348,Segment C,Country A,City A
1349,Customer 1349,Segment C,Country A,City D
1350,Customer 1350,Segment B,Country C,City A
1351,Customer 1351,Segment B,Country C,City A
1352,Customer 1352,Segment B,Country C,City E
1353,Customer 1353,Segment C,Country B,City E
1354,Customer 1354,Segment B,Country A,City C
1355,Customer 1355,Segment B,Country A,City A
1356,Customer 1356,Segment A,Country C,City C
1357,Customer 1357,Segment A,Country B,City B
1358,Customer 1358,Segment C,Country B,City B
1359,Customer 1359,Segment C,Country A,City C
1360,Customer 1360,Segment C,Country B,City A
1361,Customer 1361,Segment A,Country C,City E
1362,Customer 1362,Segment B,Country A,City D
1363,Customer 1363,Segment C,Country B,City D
1364,Customer 1364,Segment A,Country B,City A
1365,Customer 1365,Segment C,Country C,City D
1366,Customer 1366,Segment A,Country B,City A
1367,Customer 1367,Segment A,Country A,City A
1368,Customer 1368,Segment B,Country C,City E
1369,Customer 1369,Segment A,Country A,City E
1370,Customer 1370,Segment A,Country C,City A
1371,Customer 1371,Segment C,Country C,City C
1372,Customer 1372,Segment B,Country A,City E
1373,Customer 1373,Segment B,Country C,City B
1374,Customer 1374,Segment C,Country B,City E
1375,Customer 1375,Segment A,Country B,City A
1376,Customer 1376,Segment C,Country C,City D
1377,Customer 1377,Segment A,Country B,City E
1378,Customer 1378,Segment A,Country A,City B
1379,Customer 1379,Segment B,Country A,City B
1380,Customer 1380,Segment B,Country B,City E
1381,Customer 1381,Segment C,Country A,City C
1382,Customer 1382,Segment C,Country C,City E
1383,Customer 1383,Segment A,Country B,City A
1384,Customer 1384,Segment A,Country A,City D
1385,Customer 1385,Segment C,Country A,City C
1386,Customer 1386,Segment B,Country C,City B
1387,Customer 1387,Segment C,Country B,City C
1388,Customer 1388,Segment B,Country B,City B
1389,Customer 1389,Segment A,Country C,City A
1390,Customer 1390,Segment B,Country C,City B
1391,Customer 1391,Segment B,Country A,City E
1392,Customer 1392,Segment A,Country A,City D
1393,Customer 1393,Segment A,Country C,City A
1394,Customer 1394,Segment B,Country A,City E
1395,Customer 1395,Segment A,Country A,City A
1396,Customer 1396,Segment A,Country A,City C
1397,Customer 1397,Segment C,Country C,City E
1398,Customer 1398,Segment C,Country C,City C
1399,Customer 1399,Segment B,Country C,City B
1400,Customer 1400,Segment B,Country C,City D
1401,Customer 1401,Segment A,Country B,City C
1402,Customer 1402,Segment C,Country B,City D
1403,Customer 1403,Segment B,Country C,City A
1404,Customer 1404,Segment A,Country A,City E
1405,Customer 1405,Segment A,Country B,City B
1406,Customer 1406,Segment B,Country A,City C
1407,Customer 1407,Segment B,Country A,City E
1408,Customer 1408,Segment A,Country B,City D
1409,Customer 1409,Segment B,Country C,City B
1410,Customer 1410,Segment A,Country A,City D
1411,Customer 1411,Segment B,Country B,City E
1412,Customer 1412,Segment A,Country B,City E
1413,Customer 1413,Segment C,Country B,City D
1414,Customer 1414,Segment C,Country B,City B
1415,Customer 1415,Segment C,Country A,City E
1416,Customer 1416,Segment A,Country C,City A
1417,Customer 1417,Segment C,Country A,City A
1418,Customer 1418,Segment C,Country B,City E
1419,Customer 1419,Segment A,Country B,City A
1420,Customer 1420,Segment A,Country A,City D
1421,Customer 1421,Segment B,Country A,City A
1422,Customer 1422,Segment A,Country A,City C
1423,Customer 1423,Segment B,Country A,City C
1424,Customer 1424,Segment B,Country B,City D
1425,Customer 1425,Segment C,Country A,City E
1426,Customer 1426,Segment C,Country C,City B
1427,Customer 1427,Segment C,Country B,City A
1428,Customer 1428,Segment B,Country B,City A
1429,Customer 1429,Segment C,Country B,City A
1430,Customer 1430,Segment A,Country C,City C
1431,Customer 1431,Segment A,Country B,City A
1432,Customer 1432,Segment A,Country A,City E
1433,Customer 1433,Segment A,Country A,City B
1434,Customer 1434,Segment C,Country B,City D
1435,Customer 1435,Segment B,Country A,City D
1436,Customer 1436,Segment B,Country B,City E
1437,Customer 1437,Segment B,Country C,City E
1438,Customer 1438,Segment B,Country A,City B
1439,Customer 1439,Segment B,Country C,City B
1440,Customer 1440,Segment B,Country C,City B
1441,Customer 1441,Segment A,Country C,City B
1442,Customer 1442,Segment A,Country A,City D
1443,Customer 1443,Segment C,Country B,City B
1444,Customer 1444,Segment B,Country A,City E
1445,Customer 1445,Segment B,Country B,City D
1446,Customer 1446,Segment A,Country B,City A
1447,Customer 1447,Segment C,Country B,City E
1448,Customer 1448,Segment A,Country B,City D
1449,Customer 1449,Segment C,Country C,City A
1450,Customer 1450,Segment C,Country C,City B
1451,Customer 1451,Segment A,Country C,City E
1452,Customer 1452,Segment A,Country B,City A
1453,Customer 1453,Segment B,Country B,City D
1454,Customer 1454,Segment A,Country B,City D
1455,Customer 1455,Segment A,Country C,City A
1456,Customer 1456,Segment B,Country A,City D
1457,Customer 1457,Segment C,Country C,City A
1458,Customer 1458,Segment C,Country C,City C
1459,Customer 1459,Segment A,Country C,City B
1460,Customer 1460,Segment C,Country C,City A
1461,Customer 1461,Segment C,Country A,City C
1462,Customer 1462,Segment B,Country A,City C
1463,Customer 1463,Segment C,Country B,City B
1464,Customer 1464,Segment B,Country B,City A
1465,Customer 1465,Segment C,Country B,City A
1466,Customer 1466,Segment A,Country C,City D
1467,Customer 1467,Segment A,Country C,City B
1468,Customer 1468,Segment A,Country C,City D
1469,Customer 1469,Segment A,Country C,City C
1470,Customer 1470,Segment C,Country C,City E
1471,Customer 1471,Segment C,Country C,City D
1472,Customer 1472,Segment C,Country A,City D
1473,Customer 1473,Segment A,Country A,City A
1474,Customer 1474,Segment A,Country B,City C
1475,Customer 1475,Segment C,Country A,City C
1476,Customer 1476,Segment C,Country C,City E
1477,Customer 1477,Segment A,Country A,City A
1478,Customer 1478,Segment A,Country A,City B
1479,Customer 1479,Segment B,Country A,City A
1480,Customer 1480,Segment A,Country C,City D
1481,Customer 1481,Segment A,Country A,City A
1482,Customer 1482,Segment A,Country C,City D
1483,Customer 1483,Segment C,Country B,City D
1484,Customer 1484,Segment A,Country A,City C
1485,Customer 1485,Segment C,Country B,City B
1486,Customer 1486,Segment B,Country A,City E
1487,Customer 1487,Segment B,Country C,City E
1488,Customer 1488,Segment C,Country A,City D
1489,Customer 1489,Segment B,Country C,City A
1490,Customer 1490,Segment A,Country B,City C
1491,Customer 1491,Segment B,Country A,City D
1492,Customer 1492,Segment B,Country A,City D
1493,Customer 1493,Segment B,Country A,City B
1494,Customer 1494,Segment C,Country B,City C
1495,Customer 1495,Segment B,Country B,City A
1496,Customer 1496,Segment C,Country C,City C
1497,Customer 1497,Segment A,Country C,City B
1498,Customer 1498,Segment C,Country C,City D
1499,Customer 1499,Segment C,Country C,City D
1500,Customer 1500,Segment B,Country C,City B
1501,Customer 1501,Segment A,Country C,City D
1502,Customer 1502,Segment C,Country B,City E
1503,Customer 1503,Segment B,Country C,City B
1504,Customer 1504,Segment C,Country C,City C
1505,Customer 1505,Segment B,Country A,City B
1506,Customer 1506,Segment C,Country C,City B
1507,Customer 1507,Segment C,Country C,City B
1508,Customer 1508,Segment C,Country A,City D
1509,Customer 1509,Segment B,Country A,City D
1510,Customer 1510,Segment C,Country C,City A
1511,Customer 1511,Segment C,Country C,City D
1512,Customer 1512,Segment C,Country C,City A
1513,Customer 1513,Segment B,Country C,City D
1514,Customer 1514,Segment A,Country A,City E
1515,Customer 1515,Segment A,Country B,City E
1516,Customer 1516,Segment C,Country C,City E
1517,Customer 1517,Segment B,Country A,City A
1518,Customer 1518,Segment C,Country B,City B
1519,Customer 1519,Segment C,Country C,City A
1520,Customer 1520,Segment B,Country A,City D
1521,Customer 1521,Segment B,Country A,City C
1522,Customer 1522,Segment A,Country C,City D
1523,Customer 1523,Segment B,Country B,City E
1524,Customer 1524,Segment B,Country A,City C
1525,Customer 1525,Segment C,Country B,City B
1526,Customer 1526,Segment B,Country C,City C
1527,Customer 1527,Segment A,Country B,City D
1528,Customer 1528,Segment C,Country B,City E
1529,Customer 1529,Segment A,Country C,City E
1530,Customer 1530,Segment B,Country C,City A
1531,Customer 1531,Segment A,Country A,City C
1532,Customer 1532,Segment B,Country C,City B
1533,Customer 1533,Segment A,Country B,City B
1534,Customer 1534,Segment C,Country C,City A
1535,Customer 1535,Segment A,Country C,City B
1536,Customer 1536,Segment A,Country C,City E
1537,Customer 1537,Segment C,Country B,City B
1538,Customer 1538,Segment C,Country B,City A
1539,Customer 1539,Segment A,Country B,City E
1540,Customer 1540,Segment B,Country B,City A
1541,Customer 1541,Segment B,Country C,City D
1542,Customer 1542,Segment A,Country C,City B
1543,Customer 1543,Segment B,Country C,City D
1544,Customer 1544,Segment B,Country C,City A
1545,Customer 1545,Segment A,Country C,City A
1546,Customer 1546,Segment C,Country C,City A
1547,Customer 1547,Segment A,Country B,City C
1548,Customer 1548,Segment B,Country A,City D
1549,Customer 1549,Segment B,Country C,City A
1550,Customer 1550,Segment B,Country A,City E
1551,Customer 1551,Segment A,Country C,City A
1552,Customer 1552,Segment B,Country C,City D
1553,Customer 1553,Segment B,Country A,City A
1554,Customer 1554,Segment B,Country A,City C
1555,Customer 1555,Segment C,Country B,City B
1556,Customer 1556,Segment A,Country C,City D
1557,Customer 1557,Segment A,Country A,City C
1558,Customer 1558,Segment B,Country A,City E
1559,Customer 1559,Segment A,Country C,City E
1560,Customer 1560,Segment B,Country A,City D
1561,Customer 1561,Segment B,Country A,City C
1562,Customer 1562,Segment C,Country B,City C
1563,Customer 1563,Segment A,Country C,City B
1564,Customer 1564,Segment A,Country B,City A
1565,Customer 1565,Segment C,Country B,City B
1566,Customer 1566,Segment B,Country C,City C
1567,Customer 1567,Segment A,Country C,City E
1568,Customer 1568,Segment B,Country C,City D
1569,Customer 1569,Segment C,Country C,City B
1570,Customer 1570,Segment A,Country B,City E
1571,Customer 1571,Segment B,Country A,City C
1572,Customer 1572,Segment C,Country B,City D
1573,Customer 1573,Segment A,Country C,City C
1574,Customer 1574,Segment B,Country A,City D
1575,Customer 1575,Segment B,Country A,City A
1576,Customer 1576,Segment C,Country B,City A
1577,Customer 1577,Segment C,Country C,City A
1578,Customer 1578,Segment C,Country B,City C
1579,Customer 1579,Segment A,Country C,City E
1580,Customer 1580,Segment C,Country B,City B
1581,Customer 1581,Segment A,Country B,City B
1582,Customer 1582,Segment C,Country B,City C
1583,Customer 1583,Segment B,Country A,City D
1584,Customer 1584,Segment C,Country C,City A
1585,Customer 1585,Segment C,Country C,City A
1586,Customer 1586,Segment C,Country A,City C
1587,Customer 1587,Segment C,Country B,City A
1588,Customer 1588,Segment C,Country B,City D
1589,Customer 1589,Segment C,Country B,City E
1590,Customer 1590,Segment B,Country B,City A
1591,Customer 1591,Segment A,Country A,City A
1592,Customer 1592,Segment A,Country B,City C
1593,Customer 1593,Segment C,Country A,City D
1594,Customer 1594,Segment B,Country C,City C
1595,Customer 1595,Segment A,Country A,City D
1596,Customer 1596,Segment C,Country A,City B
1597,Customer 1597,Segment B,Country C,City C
1598,Customer 1598,Segment B,Country A,City C
1599,Customer 1599,Segment B,Country B,City C
1600,Customer 1600,Segment A,Country A,City B
1601,Customer 1601,Segment B,Country A,City E
1602,Customer 1602,Segment A,Country A,City A
1603,Customer 1603,Segment A,Country C,City B
1604,Customer 1604,Segment B,Country A,City D
1605,Customer 1605,Segment C,Country B,City E
1606,Customer 1606,Segment A,Country A,City E
1607,Customer 1607,Segment C,Country B,City D
1608,Customer 1608,Segment C,Country C,City C
1609,Customer 1609,Segment C,Country A,City B
1610,Customer 1610,Segment B,Country A,City D
1611,Customer 1611,Segment B,Country A,City B
1612,Customer 1612,Segment C,Country A,City E
1613,Customer 1613,Segment A,Country C,City C
1614,Customer 1614,Segment A,Country A,City E
1615,Customer 1615,Segment A,Country A,City A
1616,Customer 1616,Segment C,Country A,City E
1617,Customer 1617,Segment C,Country A,City A
1618,Customer 1618,Segment A,Country B,City C
1619,Customer 1619,Segment A,Country B,City B
1620,Customer 1620,Segment A,Country B,City E
1621,Customer 1621,Segment B,Country A,City B
1622,Customer 1622,Segment C,Country A,City E
1623,Customer 1623,Segment A,Country B,City C
1624,Customer 1624,Segment A,Country B,City D
1625,Customer 1625,Segment B,Country C,City E
1626,Customer 1626,Segment B,Country C,City E
1627,Customer 1627,Segment A,Country C,City E
1628,Customer 1628,Segment A,Country B,City C
1629,Customer 1629,Segment A,Country C,City A
1630,Customer 1630,Segment A,Country A,City C
1631,Customer 1631,Segment B,Country C,City C
1632,Customer 1632,Segment B,Country C,City D
1633,Customer 1633,Segment B,Country C,City C
1634,Customer 1634,Segment A,Country B,City B
1635,Customer 1635,Segment B,Country C,City B
1636,Customer 1636,Segment A,Country C,City A
1637,Customer 1637,Segment B,Country B,City C
1638,Customer 1638,Segment A,Country B,City A
1639,Customer 1639,Segment B,Country A,City A
1640,Customer 1640,Segment C,Country A,City E
1641,Customer 1641,Segment B,Country A,City E
1642,Customer 1642,Segment A,Country C,City C
1643,Customer 1643,Segment A,Country C,City E
1644,Customer 1644,Segment C,Country C,City C
1645,Customer 1645,Segment C,Country B,City E
1646,Customer 1646,Segment B,Country C,City A
1647,Customer 1647,Segment A,Country B,City A
1648,Customer 1648,Segment B,Country B,City E
1649,Customer 1649,Segment C,Country A,City C
1650,Customer 1650,Segment B,Country C,City D
1651,Customer 1651,Segment C,Country C,City C
1652,Customer 1652,Segment A,Country A,City E
1653,Customer 1653,Segment A,Country B,City D
1654,Customer 1654,Segment C,Country A,City D
1655,Customer 1655,Segment A,Country A,City C
1656,Customer 1656,Segment B,Country A,City E
1657,Customer 1657,Segment C,Country C,City E
1658,Customer 1658,Segment A,Country C,City D
1659,Customer 1659,Segment B,Country A,City A
1660,Customer 1660,Segment A,Country B,City D
1661,Customer 1661,Segment C,Country B,City B
1662,Customer 1662,Segment C,Country A,City E
1663,Customer 1663,Segment A,Country C,City D
1664,Customer 1664,Segment C,Country C,City D
1665,Customer 1665,Segment C,Country A,City B
1666,Customer 1666,Segment C,Country B,City A
1667,Customer 1667,Segment C,Country C,City E
1668,Customer 1668,Segment B,Country C,City C
1669,Customer 1669,Segment B,Country A,City C
1670,Customer 1670,Segment B,Country A,City D
1671,Customer 1671,Segment C,Country B,City C
1672,Customer 1672,Segment A,Country C,City C
1673,Customer 1673,Segment C,Country A,City E
1674,Customer 1674,Segment A,Country C,City B
1675,Customer 1675,Segment C,Country C,City A
1676,Customer 1676,Segment C,Country A,City C
1677,Customer 1677,Segment A,Country A,City A
1678,Customer 1678,Segment B,Country B,City A
1679,Customer 1679,Segment B,Country A,City C
1680,Customer 1680,Segment B,Country C,City A
1681,Customer 1681,Segment C,Country A,City E
1682,Customer 1682,Segment B,Country A,City C
1683,Customer 1683,Segment B,Country B,City A
1684,Customer 1684,Segment B,Country C,City A
1685,Customer 1685,Segment A,Country B,City A
1686,Customer 1686,Segment A,Country C,City D
1687,Customer 1687,Segment C,Country A,City B
1688,Customer 1688,Segment B,Country C,City C
1689,Customer 1689,Segment A,Country C,City E
1690,Customer 1690,Segment C,Country C,City A
1691,Customer 1691,Segment B,Country C,City C
1692,Customer 1692,Segment A,Country C,City B
1693,Customer 1693,Segment A,Country A,City D
1694,Customer 1694,Segment C,Country A,City B
1695,Customer 1695,Segment B,Country A,City A
1696,Customer 1696,Segment A,Country A,City C
1697,Customer 1697,Segment C,Country C,City C
1698,Customer 1698,Segment B,Country B,City E
1699,Customer 1699,Segment C,Country C,City C
1700,Customer 1700,Segment B,Country A,City C
1701,Customer 1701,Segment B,Country A,City A
1702,Customer 1702,Segment A,Country A,City B
1703,Customer 1703,Segment B,Country B,City A
1704,Customer 1704,Segment C,Country C,City E
1705,Customer 1705,Segment C,Country B,City E
1706,Customer 1706,Segment A,Country A,City E
1707,Customer 1707,Segment C,Country C,City E
1708,Customer 1708,Segment B,Country C,City D
1709,Customer 1709,Segment A,Country C,City C
1710,Customer 1710,Segment C,Country B,City C
1711,Customer 1711,Segment B,Country A,City C
1712,Customer 1712,Segment A,Country A,City C
1713,Customer 1713,Segment C,Country C,City E
1714,Customer 1714,Segment C,Country B,City B
1715,Customer 1715,Segment C,Country C,City D
1716,Customer 1716,Segment B,Country A,City C
1717,Customer 1717,Segment C,Country C,City C
1718,Customer 1718,Segment B,Country B,City E
1719,Customer 1719,Segment B,Country A,City D
1720,Customer 1720,Segment B,Country B,City A
1721,Customer 1721,Segment C,Country C,City E
1722,Customer 1722,Segment C,Country B,City A
1723,Customer 1723,Segment A,Country C,City D
1724,Customer 1724,Segment B,Country A,City B
1725,Customer 1725,Segment B,Country A,City B
1726,Customer 1726,Segment C,Country C,City C
1727,Customer 1727,Segment C,Country B,City A
1728,Customer 1728,Segment B,Country A,City A
1729,Customer 1729,Segment A,Country B,City B
1730,Customer 1730,Segment B,Country B,City C
1731,Customer 1731,Segment B,Country C,City A
1732,Customer 1732,Segment A,Country C,City B
1733,Customer 1733,Segment A,Country C,City D
1734,Customer 1734,Segment B,Country C,City B
1735,Customer 1735,Segment A,Country C,City D
1736,Customer 1736,Segment B,Country A,City D
1737,Customer 1737,Segment C,Country A,City D
1738,Customer 1738,Segment C,Country A,City C
1739,Customer 1739,Segment A,Country B,City D
1740,Customer 1740,Segment A,Country A,City C
1741,Customer 1741,Segment C,Country A,City D
1742,Customer 1742,Segment B,Country B,City B
1743,Customer 1743,Segment A,Country C,City E
1744,Customer 1744,Segment B,Country B,City B
1745,Customer 1745,Segment C,Country B,City A
1746,Customer 1746,Segment B,Country B,City D
1747,Customer 1747,Segment A,Country A,City D
1748,Customer 1748,Segment B,Country C,City A
1749,Customer 1749,Segment B,Country C,City B
1750,Customer 1750,Segment C,Country B,City A
1751,Customer 1751,Segment C,Country B,City A
1752,Customer 1752,Segment B,Country B,City A
1753,Customer 1753,Segment A,Country A,City A
1754,Customer 1754,Segment A,Country B,City E
1755,Customer 1755,Segment B,Country A,City D
1756,Customer 1756,Segment B,Country C,City C
1757,Customer 1757,Segment A,Country C,City C
1758,Customer 1758,Segment B,Country B,City C
1759,Customer 1759,Segment A,Country C,City B
1760,Customer 1760,Segment C,Country B,City E
1761,Customer 1761,Segment C,Country B,City B
1762,Customer 1762,Segment A,Country B,City B
1763,Customer 1763,Segment B,Country C,City C
1764,Customer 1764,Segment A,Country A,City C
1765,Customer 1765,Segment C,Country A,City E
1766,Customer 1766,Segment B,Country C,City B
1767,Customer 1767,Segment B,Country B,City E
1768,Customer 1768,Segment B,Country C,City C
1769,Customer 1769,Segment C,Country B,City A
1770,Customer 1770,Segment C,Country A,City A
1771,Customer 1771,Segment C,Country B,City B
1772,Customer 1772,Segment A,Country C,City C
1773,Customer 1773,Segment C,Country B,City D
1774,Customer 1774,Segment A,Country C,City A
1775,Customer 1775,Segment C,Country B,City D
1776,Customer 1776,Segment C,Country C,City D
1777,Customer 1777,Segment B,Country A,City D
1778,Customer 1778,Segment B,Country A,City E
1779,Customer 1779,Segment A,Country A,City D
1780,Customer 1780,Segment C,Country A,City E
1781,Customer 1781,Segment A,Country C,City C
1782,Customer 1782,Segment A,Country B,City E
1783,Customer 1783,Segment B,Country B,City C
1784,Customer 1784,Segment A,Country B,City C
1785,Customer 1785,Segment A,Country B,City D
1786,Customer 1786,Segment C,Country B,City D
1787,Customer 1787,Segment A,Country C,City D
1788,Customer 1788,Segment B,Country B,City D
1789,Customer 1789,Segment B,Country C,City B
1790,Customer 1790,Segment A,Country B,City D
1791,Customer 1791,Segment C,Country B,City C
1792,Customer 1792,Segment C,Country A,City C
1793,Customer 1793,Segment C,Country C,City A
1794,Customer 1794,Segment A,Country A,City A
1795,Customer 1795,Segment C,Country C,City E
1796,Customer 1796,Segment A,Country C,City D
1797,Customer 1797,Segment A,Country B,City A
1798,Customer 1798,Segment A,Country B,City E
1799,Customer 1799,Segment C,Country B,City B
1800,Customer 1800,Segment A,Country C,City A
1801,Customer 1801,Segment C,Country C,City D
1802,Customer 1802,Segment B,Country C,City B
1803,Customer 1803,Segment C,Country A,City E
1804,Customer 1804,Segment B,Country C,City B
1805,Customer 1805,Segment A,Country C,City B
1806,Customer 1806,Segment A,Country A,City E
1807,Customer 1807,Segment C,Country C,City D
1808,Customer 1808,Segment B,Country C,City D
1809,Customer 1809,Segment C,Country C,City D
1810,Customer 1810,Segment A,Country C,City B
1811,Customer 1811,Segment A,Country C,City E
1812,Customer 1812,Segment B,Country C,City C
1813,Customer 1813,Segment A,Country A,City A
1814,Customer 1814,Segment B,Country C,City A
1815,Customer 1815,Segment A,Country A,City B
1816,Customer 1816,Segment B,Country C,City A
1817,Customer 1817,Segment C,Country B,City E
1818,Customer 1818,Segment B,Country B,City C
1819,Customer 1819,Segment C,Country A,City B
1820,Customer 1820,Segment C,Country B,City D
1821,Customer 1821,Segment C,Country B,City D
1822,Customer 1822,Segment C,Country C,City C
1823,Customer 1823,Segment A,Country C,City E
1824,Customer 1824,Segment B,Country B,City D
1825,Customer 1825,Segment A,Country A,City B
1826,Customer 1826,Segment A,Country B,City B
1827,Customer 1827,Segment B,Country B,City A
1828,Customer 1828,Segment B,Country C,City B
1829,Customer 1829,Segment B,Country A,City D
1830,Customer 1830,Segment A,Country B,City A
1831,Customer 1831,Segment C,Country C,City D
1832,Customer 1832,Segment C,Country B,City B
1833,Customer 1833,Segment A,Country B,City E
1834,Customer 1834,Segment A,Country A,City A
1835,Customer 1835,Segment B,Country B,City C
1836,Customer 1836,Segment B,Country C,City B
1837,Customer 1837,Segment B,Country B,City B
1838,Customer 1838,Segment C,Country C,City A
1839,Customer 1839,Segment B,Country B,City B
1840,Customer 1840,Segment C,Country A,City E
1841,Customer 1841,Segment B,Country B,City C
1842,Customer 1842,Segment C,Country B,City B
1843,Customer 1843,Segment B,Country A,City C
1844,Customer 1844,Segment A,Country C,City E
1845,Customer 1845,Segment A,Country B,City A
1846,Customer 1846,Segment A,Country C,City E
1847,Customer 1847,Segment C,Country B,City E
1848,Customer 1848,Segment B,Country B,City C
1849,Customer 1849,Segment C,Country A,City E
1850,Customer 1850,Segment C,Country C,City E
1851,Customer 1851,Segment B,Country C,City E
1852,Customer 1852,Segment A,Country A,City D
1853,Customer 1853,Segment B,Country B,City A
